posicao,momento
0.99,177.2369462686684
0.991,177.23694626866842
0.992,177.2369462686684
0.993,177.23694626866842
0.994,177.23694626866842
0.995,177.2369462686684
0.996,177.23694626866842
0.997,177.23694626866842
0.998,177.23694626866842
0.999,177.2369462686684
1.0,177.2369462686684
1.001,177.2369462686684
1.002,177.2369462686684
1.003,177.2369462686684
1.004,177.2369462686684
1.005,177.23694626866842
1.006,177.23694626866842
1.007,177.23694626866842
1.008,177.2369462686684
1.009,177.2369462686684
1.01,177.2369462686684
1.011,177.2369462686684
1.012,177.23694626866842
1.013,177.23694626866842
1.014,177.23694626866842
1.015,177.23694626866842
1.016,177.2369462686684
1.017,177.2369462686684
1.018,177.2369462686684
1.019,177.23694626866842
1.02,177.23694626866842
1.021,177.23694626866842
1.022,177.23694626866842
1.023,177.23694626866842
1.024,177.2369462686684
1.025,177.23694626866842
1.026,177.2369462686684
1.027,177.23694626866842
1.028,177.2369462686684
1.029,177.23694626866842
1.03,177.23694626866842
1.031,177.23694626866842
1.032,177.23694626866836
1.033,177.2369462686684
1.034,177.2369462686684
1.035,177.23694626866842
1.036,177.23694626866842
1.037,177.2369462686684
1.038,177.23694626866842
1.039,177.23694626866842
1.04,177.23694626866842
1.041,177.2369462686684
1.042,177.23694626866842
1.043,177.2369462686684
1.044,177.23694626866842
1.045,177.23694626866842
1.046,177.2369462686684
1.047,177.23694626866842
1.048,177.23694626866842
1.049,177.23694626866842
1.05,177.23694626866842
1.051,177.2369462686684
1.052,177.23694626866842
1.053,177.23694626866842
1.054,177.23694626866842
1.055,177.23694626866842
1.056,177.23694626866842
1.057,177.23694626866842
1.058,177.2369462686684
1.059,177.2369462686684
1.06,177.23694626866842
1.061,177.23694626866842
1.062,177.23694626866842
1.063,177.23694626866842
1.064,177.23694626866842
1.065,177.23694626866842
1.066,177.23694626866842
1.067,177.23694626866842
1.068,177.23694626866842
1.069,177.23694626866842
1.07,177.23694626866842
1.071,177.2369462686684
1.072,177.23694626866845
1.073,177.23694626866842
1.074,177.2369462686684
1.075,177.23694626866842
1.076,177.23694626866842
1.077,177.23694626866842
1.078,177.23694626866842
1.079,177.23694626866842
1.08,176.80023602493608
1.081,176.36352578120383
1.082,175.92681553747147
1.083,175.49010529373922
1.084,175.05339505000686
1.085,174.6166848062746
1.086,174.1799745625423
1.087,173.74326431881002
1.088,173.30655407507766
1.089,172.86984383134543
1.09,172.43313358761307
1.091,171.9964233438808
1.092,171.55971310014849
1.093,171.1230028564162
1.094,170.6862926126839
1.095,170.24958236895165
1.096,169.8128721252193
1.097,169.37616188148704
1.098,168.93945163775467
1.099,168.5027413940224
1.1,168.0660311502901
1.101,167.6293209065578
1.102,167.19261066282547
1.103,166.75590041909322
1.104,166.3191901753609
1.105,165.88247993162864
1.106,165.44576968789625
1.107,165.009059444164
1.108,164.57234920043163
1.109,164.1356389566994
1.11,163.69892871296707
1.111,163.26221846923482
1.112,162.82550822550246
1.113,162.3887979817702
1.114,161.95208773803785
1.115,161.51537749430557
1.116,161.07866725057323
1.117,160.64195700684098
1.118,160.20524676310868
1.119,159.7685365193764
1.12,159.33182627564406
1.121,158.89511603191184
1.122,158.45840578817948
1.123,158.0216955444472
1.124,157.58498530071483
1.125,157.1482750569826
1.126,156.71156481325036
1.127,156.274854569518
1.128,155.83814432578578
1.129,155.4014340820534
1.13,154.96472383832113
1.131,154.5280135945888
1.132,154.09130335085655
1.133,153.6545931071242
1.134,153.21788286339194
1.135,152.7811726196596
1.136,152.34446237592735
1.137,151.90775213219501
1.138,151.47104188846274
1.139,151.03433164473043
1.14,150.59762140099815
1.141,150.1609111572658
1.142,149.72420091353354
1.143,149.28749066980117
1.144,148.85078042606895
1.145,148.41407018233662
1.146,147.97735993860437
1.147,147.540649694872
1.148,147.10393945113975
1.149,146.6672292074074
1.15,146.23051896367517
1.151,145.7938087199428
1.152,145.35709847621055
1.153,144.92038823247822
1.154,144.48367798874597
1.155,144.04696774501363
1.156,143.61025750128135
1.157,143.173547257549
1.158,142.73683701381677
1.159,142.3001267700844
1.16,141.86341652635213
1.161,141.4267062826198
1.162,140.98999603888754
1.163,140.5532857951552
1.164,140.11657555142295
1.165,139.6798653076906
1.166,139.24315506395834
1.167,138.806444820226
1.168,138.36973457649373
1.169,137.9330243327614
1.17,137.49631408902914
1.171,137.0596038452968
1.172,136.62289360156456
1.173,136.1861833578322
1.174,135.74947311409994
1.175,135.3127628703676
1.176,134.87605262663536
1.177,134.439342382903
1.178,134.00263213917071
1.179,133.5659218954384
1.18,133.20934332331103
1.181,132.8616682702508
1.182,132.5139932171906
1.183,132.16631816413036
1.184,131.8186431110702
1.185,131.47096805801
1.186,131.1232930049498
1.187,130.7756179518896
1.188,130.42794289882943
1.189,130.08026784576919
1.19,129.73259279270903
1.191,129.38491773964878
1.192,129.03724268658863
1.193,128.68956763352838
1.194,128.34189258046823
1.195,127.99421752740798
1.196,127.64654247434783
1.197,127.29886742128757
1.198,126.95119236822744
1.199,126.60351731516718
1.2,126.25584226210702
1.201,125.90816720904677
1.202,125.56049215598662
1.203,125.2128171029264
1.204,124.86514204986621
1.205,124.51746699680598
1.206,124.16979194374582
1.207,123.82211689068559
1.208,123.47444183762539
1.209,123.12676678456516
1.21,122.77909173150502
1.211,122.43141667844478
1.212,122.08374162538462
1.213,121.73606657232438
1.214,121.38839151926422
1.215,121.04071646620397
1.216,120.69304141314382
1.217,120.34536636008357
